icao,iata,name,location,country,timezone,hub,lat,lon
AA00,default,Shump Airport,Talkeetna,US,America/Anchorage,0,62.51015,-149.926717
AA05,default,Shelby Strip,Anchorage,US,America/Anchorage,0,61.507811,-149.078481
AA06,default,Sixmile Lake Airport,Anchorage,US,America/Anchorage,0,61.289722,-149.806111
AA22,default,Delta Daves Airport,Delta Junction,US,America/Anchorage,0,64.132858,-145.804494
AA30,default,Trio Estates Airport,Houston,US,America/Anchorage,0,61.648189,-149.870831
AA33,default,Gus Landing,Houston,US,America/Anchorage,0,61.60415,-149.770119
AA50,default,Point Thomson Sea Ice Airstrip,Deadhorse,US,America/Anchorage,0,70.181144,-146.35035
AA76,default,Timber Trails Airport,North Pole,US,America/Anchorage,0,64.769444,-147.329444
AAXX,default,Rothera Point Airport,Rothera Point,AQ,Antarctica/Rothera,0,-67.5669411575,-68.1269931793
ADDE,ALX,Thomas C Russell Field,Alexander City,US,America/Chicago,0,32.9146995544,-85.9629974365
AGAF,AFT,Afutara Aerodrome,Bila,SB,Pacific/Guadalcanal,0,-9.1913888889,160.948611111
AGAR,RNA,Ulawa Airport,Arona,SB,Pacific/Guadalcanal,0,-9.8605435826,161.979546547
AGAT,ATD,Uru Harbour Airport,Atoifi,SB,Pacific/Guadalcanal,0,-8.8733301163,161.0110015869
AGBA,VEV,Barakoma Airport,Barakoma,SB,Pacific/Guadalcanal,0,-7.912779808,156.7059936523
AGBT,BPF,Batuna Aerodrome,Batuna Mission Station,SB,Pacific/Guadalcanal,0,-8.5620277778,158.119305556
AGEV,GEF,Geva Airport,Liangia,SB,Pacific/Guadalcanal,0,-7.5758299828,156.5970001221
AGGA,AKS,Auki Airport,Auki,SB,Pacific/Guadalcanal,0,-8.7025699616,160.682006836
AGGB,BNY,Bellona/Anua Airport,Anua,SB,Pacific/Guadalcanal,0,-11.3022222222,159.798333333
AGGC,CHY,Choiseul Bay Airport,default,SB,Pacific/Guadalcanal,0,-6.711944,156.396111
AGGE,BAS,Ballalae Airport,Ballalae,SB,Pacific/Guadalcanal,0,-6.990745,155.886656
AGGF,FRE,Fera/Maringe Airport,Fera Island,SB,Pacific/Guadalcanal,0,-8.1075000763,159.5769958496
AGGH,HIR,Honiara International Airport,Honiara,SB,Pacific/Guadalcanal,0,-9.4280004501,160.0549926758
AGGI,MBU,Babanakira Airport,Mbambanakira,SB,Pacific/Guadalcanal,0,-9.7475004196,159.8390045166
AGGJ,AVU,Avu Avu Airport,default,SB,Pacific/Guadalcanal,0,-9.8683333333,160.410555556
AGGK,IRA,Ngorangora Airport,Kirakira,SB,Pacific/Guadalcanal,0,-10.4497003555,161.8979949951
